Species,ID_pine,ID_spruce,GO,ID_Arabidopsis,Gene name,Gene function,Expression,baseMean,log2FoldChange,lfcSE,stat,pvalue,padj
Scots pine,PITA_000062492,MA_100612g0010,,AT5G15280.1,,Pentatricopeptide repeat (PPR) superfamily protein,SHADE>SUN,44.32090614,-5.612628173,0.741356527,-7.570754382,3.71E-14,3.30E-12
Norway spruce,,MA_100612g0010,,,,,SHADE>SUN,104.1010493,-0.211147911,0.353201707,-0.597811129,0.549965964,0.898823838
Scots pine,PITA_000051145,MA_10067279g0010,GO:0005524,AT5G57480.1,,P-loop containing nucleoside triphosphate hydrolases superfamily protein,SHADE>SUN,66.29625183,-6.687430075,0.662660146,-1,,
Norway spruce,,MA_10067279g0010,,,,,SHADE<SUN,87.38087754,0.236942403,0.378640665,0.625771145,0.531465061,0.892498854
Scots pine,PITA_000076240,MA_100722g0010,GO:0006814,AT3G25410.1,,Sodium Bile acid symporter family,SHADE<SUN,473.6236456,0.855491079,0.106236851,8,,
Norway spruce,,MA_100722g0010,,,,,SHADE<SUN,229.8159149,0.079606539,0.202209542,0.393683397,0.693814801,0.943723006
Scots pine,PITA_000025670,MA_10085364g0010,GO:0006098,AT3G48730.1,GSA2,glutamate-1-semialdehyde 2,,,,,,,
Norway spruce,,MA_10085364g0010,,,,,SHADE<SUN,286.5762069,0.137446026,0.193184332,0.711476055,0.476789284,0.866589106
Scots pine,PITA_000005177,MA_100910g0020,GO:0009773,AT1G55670.1,,,SHADE<SUN,5,,,,,
Norway spruce,,MA_100910g0020,,,,,SHADE>SUN,909.0685904,-0.285530415,0.174917568,-1.63237128,0.102601295,0.459354827
Norway spruce,,MA_10091665g0010,,,,,SHADE>SUN,1147.935877,-0.359560532,0.150362499,-2.391291276,0.016789227,0.149268806
Scots pine,PITA_000064391,MA_10091665g0010,,,,,SHADE<SUN,565.2745765,0.958461384,0.187451769,5.113109302,3.17E-07,9.56E-06
Scots pine,PITA_000012746,MA_10098847g0010,,AT3G43540.1,,Protein of unknown function (DUF1350),SHADE<SUN,1,,,,,
Norway spruce,,MA_10098847g0010,,,,,SHADE<SUN,799.8615984,0.145514586,0.528001761,0.275594887,0.782859237,0.964162017
Scots pine,PITA_000013474,MA_101037g0010,,AT3G15680.1,,Ran BP2/NZF zinc finger-like superfamily protein,SHADE>SUN,40.8454012,-1.241963189,0.285671607,-4.347520567,1.38E-05,2
Norway spruce,,MA_101037g0010,,,,,SHADE>SUN,25.36778648,-1.113459904,0.382327191,-2.912322037,0.003587526,0.050700268
Scots pine,PITA_000074157,MA_101067g0010,GO:0004332,AT3G52930.1,,Aldolase superfamily protein,SHADE<SUN,406.4032035,1.153926445,0.139630609,8.264136731,1.41E-16,1.74E-14
Norway spruce,,MA_101067g0010,,,,,SHADE>SUN,82.11098611,-0.120529287,0.232377016,-0.5186799,0.603983981,0.916249152
Scots pine,PITA_000087387,MA_101084g0010,,AT1G11290.1,CRR22,Pentatricopeptide repeat (PPR) superfamily protein,SHADE>SUN,74.40509512,-5.661098679,0.765538878,-7.394919895,1.41E-13,1.17E-11
Norway spruce,,MA_101084g0010,,,,,SHADE<SUN,139.3165476,1.19539542,0.44950241,2.659374885,0.00782858,0.089184665
Scots pine,PITA_000032921,MA_101110g0010,GO:0016772,AT2G37050.3,,Leucine-rich repeat protein kinase family protein,SHADE<SUN,238.392629,0.687474306,0.159280703,4.316117975,1.59E-05,3
Norway spruce,,MA_101110g0010,,,,,SHADE<SUN,265.733844,0.683439436,0.486450297,1.404952243,0.16003548,0.577918826
Scots pine,PITA_000035567,MA_10117352g0010,GO:0009535,AT5G02120.1,OHP,one helix protein,SHADE<SUN,2,,,,,
Norway spruce,,MA_10117352g0010,,,,,SHADE>SUN,529.3766785,-0.137233382,0.191109494,-0.718087729,0.472703196,0.864740175
Scots pine,PITA_000078444,MA_10121006g0010,,AT3G25810.1,,Terpenoid cyclases/Protein prenyltransferases superfamily protein,SHADE<SUN,39677.26371,1.901796155,0.535886358,3.548879586,3,
Norway spruce,,MA_10121006g0010,,,,,SHADE>SUN,25.78490579,-1.177207888,0.647361164,-1.818471593,0.068992085,0.364302374
Scots pine,PITA_000031421,MA_10132073g0010,,AT1G64850.1,,Calcium-binding EF hand family protein,SHADE>SUN,7,,,,,
Norway spruce,,MA_10132073g0010,,,,,SHADE<SUN,163.3129187,0.37374684,0.385035096,0.970682528,0.331706395,0.769188423
Scots pine,PITA_000026646,MA_10134g0010,GO:0003735,AT5G23535.1,,KOW domain-containing protein,SHADE<SUN,607.6061015,0.748586402,0.152898111,4.895982,9.78E-07,2.74E-05
Norway spruce,,MA_10134g0010,,,,,SHADE<SUN,132.5713412,0.499550426,0.456794901,1.093598954,0.274130908,0.733132376
Scots pine,PITA_000032437,MA_10135085g0010,,AT1G03230.1,,Eukaryotic aspartyl protease family protein,SHADE>SUN,28.83952361,-3.788737339,0.838772877,-4.517000302,6.27E-06,1
Norway spruce,,MA_10135085g0010,,,,,SHADE>SUN,280.2042491,-0.196109387,0.614040203,-0.319375483,0.7494418,0.956416853
Scots pine,PITA_000009955,MA_10138132g0010,,AT3G02330.1,,Pentatricopeptide repeat (PPR) superfamily protein,SHADE<SUN,240.4825179,2.222318816,0.675964184,3.287628056,1,
Norway spruce,,MA_10138132g0010,,,,,SHADE>SUN,111.7193457,-0.609223897,0.372152307,-1.637028403,0.101624535,0.457010959
Norway spruce,,MA_10141g0030,,AT1G10270.1,GRP23,glutamine-rich protein 23,SHADE<SUN,63.12424054,0.353740291,0.734356161,0.481701264,0.630018178,0.925976396
Scots pine,PITA_000040025,MA_10141g0040,,AT1G69550.1,,disease resistance protein (TIR-NBS-LRR class),SHADE>SUN,40.83976977,-1.209411967,0.327227663,-3.695934367,2,
Scots pine,PITA_000013356,MA_10143270g0010,,AT1G22400.1,ATUGT85A1,,,,,,,,
Norway spruce,,MA_10143270g0010,,,,,SHADE>SUN,81.82931854,-0.535203097,0.590934091,-0.905689999,0.365099957,0.795244803
Scots pine,PITA_000058518,MA_101764g0010,GO:0004553,AT1G48100.1,,Pectin lyase-like superfamily protein,SHADE<SUN,280.3357478,0.933013469,0.16856182,5.535141157,3.11E-08,1.13E-06
Norway spruce,,MA_101764g0010,,,,,SHADE>SUN,374.6830407,-0.157828103,0.148717989,-1.061257645,0.288572829,0.736718872
Scots pine,PITA_000057496,MA_10181288g0010,,AT1G75290.1,,NAD(P)-binding Rossmann-fold superfamily protein,SHADE<SUN,1026.953815,2.290162711,0.317995418,7.2018733,5.94E-13,4.62E-11
Scots pine,PITA_000076817,MA_10181288g0010,,AT1G75290.1,,NAD(P)-binding Rossmann-fold superfamily protein,SHADE<SUN,590.2500514,2.369135901,0.29017769,8.164431596,3.23E-16,3.91E-14
Norway spruce,,MA_10181288g0010,,,,,SHADE<SUN,2918.417065,0.036728162,0.734780918,0.049985187,0.960134193,0.994212203
Scots pine,PITA_000042257,MA_101817g0010,GO:0009867,AT3G03760.1,LBD20,LOB domain-containing protein 20,SHADE>SUN,49.89601745,-1.237367927,0.29063847,-4.257412744,2,
Norway spruce,,MA_101817g0010,,,,,SHADE<SUN,72.92366149,0.189113604,0.512793289,0.368791104,0.712283436,0.947231712
Scots pine,PITA_000030873,MA_101842g0010,,AT5G53390.1,,O-acyltransferase (WSD1-like) family protein,SHADE<SUN,293.2366473,0.990049795,0.2599977,3.807917513,1,
Norway spruce,,MA_101842g0010,,,,,SHADE<SUN,123.1503566,0.190759199,0.286237773,0.666436149,0.505132363,0.880322763
Scots pine,PITA_000093795,MA_101924g0020,GO:0005525,AT1G02130.1,ARA-5,,,,,,,,
Norway spruce,,MA_101924g0020,,,,,SHADE>SUN,95.10752032,-0.090395628,0.210920826,-0.428576115,0.668231731,0.936978393
Scots pine,PITA_000006901,MA_10194g0020,GO:0004674,AT1G73500.1,ATMKK9,,,,,,,,
Norway spruce,,MA_10194g0020,,,,,SHADE>SUN,69.33787569,-0.195351018,0.220738537,-0.884988276,0.376162955,0.804160916
Scots pine,PITA_000003415,MA_10196363g0010,,AT4G16730.1,TPS02,terpene synthase 02,SHADE<SUN,520.4339723,0.932626335,0.219066661,4.257271882,2,
Norway spruce,,MA_10196363g0010,,,,,SHADE<SUN,563.790453,0.567144253,0.654083263,0.867082655,0.385896723,0.8108868
Scots pine,PITA_000004448,MA_101964g0010,GO:0005524,AT5G09590.1,HSC70-5,,,,,,,,
Norway spruce,,MA_101964g0010,,,,,SHADE<SUN,77.87013973,0.65650135,0.25573517,2.567114059,0.010254887,0.106787562
Scots pine,PITA_000085662,MA_10197498g0010,GO:0004601,AT3G26060.1,ATPRX Q,Thioredoxin superfamily protein,SHADE<SUN,1342.202385,1.658731166,0.227169186,7.301743685,2.84E-13,2.26E-11
Norway spruce,,MA_10197498g0010,,,,,SHADE<SUN,543.41007,0.256169939,0.166488121,1.53866797,0.123885376,0.508278529
Scots pine,PITA_000078328,MA_10199247g0010,GO:0000226,AT1G52240.2,ATROPGEF11,,,,,,,,
Norway spruce,,MA_10199247g0010,,,,,SHADE>SUN,6.164415371,-1.265988953,0.611909958,-2.068913794,0.038554177,0.259125607
Scots pine,PITA_000021520,MA_102045g0010,GO:0009827,AT5G06700.1,TBR,Plant protein of unknown function (DUF828),SHADE<SUN,400.1748848,8.385761938,0.667288282,12.56692522,3.21E-36,2.90E-33
Norway spruce,,MA_102045g0010,,,,,SHADE>SUN,148.4662927,-0.088589486,0.190759104,-0.464405022,0.642357592,0.929980334
Scots pine,PITA_000060907,MA_10207543g0010,,AT5G06570.2,,alpha/beta-Hydrolases superfamily protein,SHADE<SUN,115.3240914,3.30480608,0.703973149,4.694505872,2.67E-06,6.83E-05
Norway spruce,,MA_10207543g0010,,,,,SHADE<SUN,684.9097189,1.295143769,0.469215399,2.760232876,0.005776017,0.071504538
Scots pine,PITA_000007622,MA_10213388g0010,GO:0004672,AT4G02420.1,,Concanavalin A-like lectin protein kinase family protein,SHADE>SUN,9.697775389,-3.915853572,0.803856185,-4.871336,1.11E-06,3
Norway spruce,,MA_10213388g0010,,,,,SHADE>SUN,242.1769284,-0.377314352,0.475177051,-0.794050031,0.427166306,0.839491
Scots pine,PITA_000075740,MA_10215114g0010,GO:0004672,AT1G79600.1,,Protein kinase superfamily protein,SHADE<SUN,365.3269913,0.700038698,0.16754365,4.178246662,2.94E-05,5
Norway spruce,,MA_10215114g0010,,,,,SHADE<SUN,335.2052475,0.159338122,0.169912392,0.93776634,0.348364503,0.783047538
Norway spruce,,MA_10216136g0010,,,,,SHADE<SUN,179.3968161,0.380105947,0.323537514,1.174843503,0.240057332,0.696747805
Scots pine,PITA_000032937,MA_10216136g0010,,,,,SHADE>SUN,50.92312509,-1.280449156,0.240489029,-5.324355789,1,
Scots pine,PITA_000041070,MA_102199g0010,GO:0003677,AT1G01060.3,LHY,,,,,,,,
Norway spruce,,MA_102199g0010,,,,,SHADE>SUN,66.6278508,-0.831519277,0.257091918,-3.234326787,0.001219299,0.022750354
Scots pine,PITA_000068540,MA_10227167g0010,,AT3G08490.1,,unknown,SHADE<SUN,2,,,,,
Norway spruce,,MA_10227167g0010,,,,,SHADE<SUN,187.6229307,1.086986722,0.380811784,2.854393611,0.004311907,0.058008385
Scots pine,PITA_000050409,MA_10227622g0010,GO:0004601,AT4G36430.1,,Peroxidase superfamily protein,SHADE<SUN,273.6881801,1.90128324,0.509408892,3.732332258,1,
Norway spruce,,MA_10227622g0010,,,,,SHADE>SUN,25.4969436,-0.849153832,0.421247308,-2.015808329,0.043820022,0.279248148
Scots pine,PITA_000027404,MA_102330g0020,,AT3G22530.1,,unknown,SHADE>SUN,3,,,,,
Norway spruce,,MA_102330g0020,,,,,SHADE>SUN,57.93117226,-0.791386644,0.302271494,-2.618131907,0.008841262,0.096416967
Scots pine,PITA_000083435,MA_10237752g0010,GO:0004672,AT4G23180.1,CRK10,,,,,,,,
Norway spruce,,MA_10237752g0010,,,,,SHADE<SUN,194.9977769,1.272695345,0.438387066,2.903131603,0.003694514,0.051840833
Scots pine,PITA_000074055,MA_10239544g0010,,AT1G75220.1,,Major facilitator superfamily protein,SHADE<SUN,171.1052983,1.169117635,0.272495466,4.290411327,1.78E-05,3
Norway spruce,,MA_10239544g0010,,,,,SHADE<SUN,99.67253515,0.454596801,0.286582682,1.586267523,0.112678636,0.482934671
Scots pine,PITA_000092661,MA_10239665g0010,,AT1G67090.1,RBCS1A,ribulose bisphosphate carboxylase small chain 1A,SHADE>SUN,114.7419051,-0.757903319,0.201466308,-3.761935805,1,
Norway spruce,,MA_10239665g0010,,,,,SHADE>SUN,188.7257169,-0.100592571,0.259522575,-0.387606245,0.698307447,0.944463901
Scots pine,PITA_000006702,MA_102427g0010,GO:0006662,AT5G06690.1,WCRKC1,WCRKC thioredoxin 1,SHADE<SUN,313.9918767,0.87319942,0.175756924,4.968222023,6.76E-07,1.94E-05
Norway spruce,,MA_102427g0010,,,,,SHADE<SUN,174.1448646,0.880396876,0.264529819,3.328157402,0.000874225,0.017485336
Scots pine,PITA_000049548,MA_10243352g0010,GO:0005783,AT4G10250.1,ATHSP22.0,HSP20-like chaperones superfamily protein,SHADE>SUN,30.77539097,-1,,,,
Norway spruce,,MA_10243352g0010,,,,,SHADE>SUN,1.116114206,-0.570216605,0.737507436,-0.773167262,0.439423398,0.846554857
Scots pine,PITA_000032052,MA_10243939g0010,,AT1G11290.1,CRR22,Pentatricopeptide repeat (PPR) superfamily protein,SHADE>SUN,147.6542375,1,,,,
Norway spruce,,MA_10243939g0010,,,,,SHADE<SUN,109.7095309,0.203531344,0.468961174,0.43400468,0.664285042,0.936326929
Scots pine,PITA_000047087,MA_10250029g0020,,AT5G23190.1,CYP86B1,cytochrome P450,,,,,,,
Scots pine,PITA_000064624,MA_10250029g0020,GO:0000041,AT5G23190.1,CYP86B1,cytochrome P450,,,,,,,
Norway spruce,,MA_10250029g0020,,,,,SHADE>SUN,209.4746297,-0.349196563,0.295027916,-1.183605161,0.236569397,0.692276761
Scots pine,PITA_000031884,MA_10257685g0010,,AT4G18750.1,DOT4,Pentatricopeptide repeat (PPR) superfamily protein,SHADE<SUN,328.2094924,1.700005919,0.39665185,4.285889295,1.82E-05,3
Norway spruce,,MA_10257685g0010,,,,,SHADE<SUN,134.6651462,0.746514837,0.465267242,1.604486131,0.108606939,0.473010934
Scots pine,PITA_000023546,MA_10265639g0010,,AT4G26090.1,RPS2,NB-ARC domain-containing disease resistance protein,SHADE>SUN,25.38997157,-4.365755474,0.80937917,-5.39395581,6.89E-08,2.36E-06
Norway spruce,,MA_10265639g0010,,,,,SHADE>SUN,91.02549963,-0.407167095,0.299852694,-1.357890403,0.174498463,0.602784598
Scots pine,PITA_000026798,MA_102685g0020,GO:0043231,AT2G46950.1,CYP709B2,cytochrome P450,,,,,,,
Norway spruce,,MA_102685g0020,,,,,SHADE>SUN,74.23711052,-0.834086018,0.64605902,-1.291036875,0.196690891,0.637207109
Scots pine,PITA_000007252,MA_10275776g0010,,AT1G71695.1,,Peroxidase superfamily protein,SHADE>SUN,71.27368106,-0.844561264,0.198974722,-4.244565624,2.19E-05,4
Norway spruce,,MA_10275776g0010,,,,,SHADE>SUN,50.47824576,-0.806137334,0.295661161,-2.7265581,0.006399868,0.077197248
Scots pine,PITA_000050461,MA_10276622g0010,GO:0005366,AT1G30220.1,ATINT2,,,,,,,,
Norway spruce,,MA_10276622g0010,,,,,SHADE>SUN,192.8808168,-0.594844787,0.434232985,-1.369874718,0.170726013,0.596119254
Scots pine,PITA_000021695,MA_102797g0010,,AT5G62910.1,,RING/U-box superfamily protein,SHADE<SUN,5,,,,,
Norway spruce,,MA_102797g0010,,,,,SHADE<SUN,172.4613579,0.079843741,0.180724978,0.441796933,0.658636158,0.934636072
Scots pine,PITA_000011696,MA_10281032g0010,GO:0016740,AT2G36970.1,,UDP-Glycosyltransferase superfamily protein,SHADE<SUN,325.5412076,1.341787654,0.254962704,5.262682073,1.42E-07,4.55E-06
Norway spruce,,MA_10281032g0010,,,,,SHADE>SUN,83.84834879,-0.577456387,0.383915879,-1.504122175,0.132549912,0.526556714
Scots pine,PITA_000036228,MA_10281691g0010,,AT2G01860.1,EMB975,Tetratricopeptide repeat (TPR)-like superfamily protein,SHADE>SUN,292.2299162,1,,,,
Norway spruce,,MA_10281691g0010,,,,,SHADE<SUN,170.7258245,0.165842933,0.194362425,0.853266431,0.393511572,0.815342222
Scots pine,PITA_000014471,MA_10281743g0010,GO:0016020,AT1G53210.1,,sodium/calcium exchanger family protein / calcium-binding EF hand family protein,SHADE>SUN,2,,,,,
Norway spruce,,MA_10281743g0010,,,,,SHADE<SUN,147.8729321,0.381231456,0.406123354,0.938708527,0.347880414,0.782631652
Scots pine,PITA_000046878,MA_102823g0010,,AT4G02750.1,,Tetratricopeptide repeat (TPR)-like superfamily protein,SHADE<SUN,278.1350411,1.657455358,0.491001299,3.3756639,7,
Norway spruce,,MA_102823g0010,,,,,SHADE<SUN,151.2259202,0.624972723,0.34406189,1.816454366,0.069300702,0.365245155
Scots pine,PITA_000012121,MA_10287590g0010,,AT3G12770.1,MEF22,mitochondrial editing factor  22,SHADE<SUN,325.5802837,1.318507548,0.170991199,7.710967341,1.25E-14,1.19E-12
Scots pine,PITA_000046572,MA_10287590g0010,,AT3G12770.1,MEF22,mitochondrial editing factor  22,SHADE<SUN,306.3675924,0.941967252,0.270570731,3.481408532,4,
Scots pine,PITA_000088561,MA_10287590g0010,,AT3G12770.1,MEF22,mitochondrial editing factor  22,SHADE<SUN,285.3745786,1.446351708,0.424926817,3.403766603,6,
Norway spruce,,MA_10287590g0010,,,,,SHADE<SUN,156.1440943,0.56217231,0.419473023,1.340187041,0.180184544,0.612903615
Scots pine,PITA_000003861,MA_10291578g0010,,AT1G53540.1,,HSP20-like chaperones superfamily protein,SHADE>SUN,38.58429278,-1.126296035,0.346164614,-3.253642886,1,
Scots pine,PITA_000072518,MA_10291578g0010,,AT1G53540.1,,HSP20-like chaperones superfamily protein,SHADE>SUN,4,,,,,
Scots pine,PITA_000085978,MA_10291578g0010,,AT1G53540.1,,HSP20-like chaperones superfamily protein,SHADE>SUN,40.18180485,-0.839541707,0.253503616,-3.311754372,9,
Norway spruce,,MA_10291578g0010,,,,,SHADE>SUN,24.75163014,-0.083232337,0.500264975,-0.166376502,0.867860665,0.981258263
Scots pine,PITA_000048921,MA_10292334g0010,,AT4G10180.1,ATDET1,,,,,,,,
Norway spruce,,MA_10292334g0010,,,,,SHADE<SUN,62.412394,0.21835244,0.402533131,0.542445885,0.587511377,0.911632469
Scots pine,PITA_000032639,MA_10293821g0010,,AT1G22340.1,AtUGT85A7,,,,,,,,
Norway spruce,,MA_10293821g0010,,,,,SHADE>SUN,200.464771,-0.178992595,0.472099607,-0.379141588,0.704582725,0.945556275
Scots pine,PITA_000031517,MA_10300g0030,,AT1G50260.1,NTMC2T5.1,,,,,,,,
Norway spruce,,MA_10300g0030,,,,,SHADE<SUN,295.8394216,0.324179808,0.158861784,2.040640611,0.041286562,0.269870915
Scots pine,PITA_000007015,MA_10312128g0010,GO:0006979,AT1G60470.1,AtGolS4,,,,,,,,
Norway spruce,,MA_10312128g0010,,,,,SHADE>SUN,5.046303668,-0.887100638,0.686866408,-1.291518448,0.196523962,0.636965224
Scots pine,PITA_000042310,MA_10316984g0010,GO:0005829,AT4G01400.3,,unknown,SHADE<SUN,218.7895517,0.430734322,0.129022215,3.338450854,8,
Norway spruce,,MA_10316984g0010,,,,,SHADE>SUN,95.03615495,-0.38368916,0.453654018,-0.845774852,0.397678357,0.818669478
Scots pine,PITA_000072849,MA_10320g0010,,AT3G27810.1,ATMYB21,,,,,,,,
Norway spruce,,MA_10320g0010,,,,,SHADE>SUN,40.75021679,-0.499315423,0.56619946,-0.881871952,0.377846056,0.804653921
Scots pine,PITA_000082093,MA_10333127g0010,,AT2G30870.1,ATGSTF10,,,,,,,,
Norway spruce,,MA_10333127g0010,,,,,SHADE<SUN,95.0969754,1.240802256,0.452696726,2.740912809,0.006126876,0.074775331
Scots pine,PITA_000065032,MA_10337581g0010,GO:0005739,AT5G07330.1,,unknown,SHADE>SUN,47.89203394,-1.130523147,0.24864372,-4.546759296,5.45E-06,1
Norway spruce,,MA_10337581g0010,,,,,SHADE>SUN,26.49561985,-1.106738682,0.373124091,-2.966141047,0.003015622,0.04454921
Scots pine,PITA_000011646,MA_10352794g0010,,AT5G05700.1,ATATE1,,,,,,,,
Norway spruce,,MA_10352794g0010,,,,,SHADE<SUN,52.58440644,0.02919196,0.282154302,0.103460979,0.917597117,0.989415512
Scots pine,PITA_000024864,MA_10355730g0010,,AT3G12770.1,MEF22,mitochondrial editing factor  22,SHADE>SUN,259.6383023,1,,,,
Scots pine,PITA_000030938,MA_10355730g0010,,AT3G12770.1,MEF22,mitochondrial editing factor  22,SHADE>SUN,249.5712103,1,,,,
Norway spruce,,MA_10355730g0010,,,,,SHADE>SUN,109.3932291,-0.012191748,0.358749964,-0.033983969,0.972889934,0.995517078
Scots pine,PITA_000043927,MA_103581g0010,GO:0005886,AT1G70300.1,KUP6,K+ uptake permease 6,SHADE<SUN,95.98362723,0.745974004,0.184359253,4,,
Norway spruce,,MA_103581g0010,,,,,SHADE<SUN,163.557313,0.209522248,0.210793021,0.993971465,0.32023676,0.757853541
Scots pine,PITA_000015580,MA_10379445g0010,GO:0005774,AT3G14920.1,,Peptide-N4-(N-acetyl-beta-glucosaminyl)asparagine amidase A protein,SHADE<SUN,118.9391963,0.489823436,0.148530065,3.297806659,9,
Norway spruce,,MA_10379445g0010,,,,,SHADE<SUN,114.1020228,0.621605403,0.263295191,2.360868807,0.018232179,0.158691601
Scots pine,PITA_000006071,MA_103815g0010,GO:0016491,AT2G45570.1,CYP76C2,cytochrome P450,,,,,,,
Norway spruce,,MA_103815g0010,,,,,SHADE>SUN,269.6108672,-0.232615856,0.509544844,-0.456516946,0.648018288,0.931676204
Scots pine,PITA_000066947,MA_103898g0010,GO:0000023,AT4G31850.1,PGR3,proton gradient regulation 3,SHADE>SUN,62.6417889,-0.932954547,0.223045035,-4.18280795,2.88E-05,5
Norway spruce,,MA_103898g0010,,,,,SHADE<SUN,58.1454799,0.302655548,0.499615792,0.605776584,0.544663121,0.896839697
Scots pine,PITA_000003520,MA_103912g0010,GO:0005886,AT1G08230.2,ATGAT1,,,,,,,,
Norway spruce,,MA_103912g0010,,,,,SHADE<SUN,223.3497503,0.163206855,0.504141992,0.323731919,0.746141003,0.956003979
Scots pine,PITA_000029371,MA_10392111g0010,,AT1G27620.1,,HXXXD-type acyl-transferase family protein,SHADE<SUN,227.4529903,0.793896648,0.13383864,5.931744752,3.00E-09,1.28E-07
Norway spruce,,MA_10392111g0010,,,,,SHADE<SUN,221.1098751,1.907318674,0.652295822,2.924008723,0.003455551,0.049340165
Scots pine,PITA_000023013,MA_104060g0010,GO:0005216,AT2G43950.2,ATOEP37,,,,,,,,
